FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
1,과사무실,인문사회과학대학,인문사회과학대학,,,인사,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
2,과사무실,인문사회과학대학,인문사회과학대학,,,730-0202,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
3,과사무실,인문사회과학대학,인문사회과학대학,,,0202,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
4,과사무실,인문사회과학대학,인문사회과학대학,,,인문,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
5,과사무실,인문사회과학대학,인문사회과학대학,,,인문사회과학대학,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
6,과사무실,인문사회과학대학,인문사회과학대학,,,033-730-0202,"<인문사회과학대학>
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,
7,과사무실,인문사회과학대학,경찰법학과,,,경찰법학과,"<인문사회과학대학>
경찰법학과
033-730-0240",https://www.sangji.ac.kr/law/index.do,
8,과사무실,인문사회과학대학,경찰법학과,,,033-730-0240,"<인문사회과학대학>
경찰법학과
033-730-0240",https://www.sangji.ac.kr/law/index.do,
9,과사무실,인문사회과학대학,경찰법학과,,,730-0240,"<인문사회과학대학>
경찰법학과
033-730-0240",https://www.sangji.ac.kr/law/index.do,
10,과사무실,인문사회과학대학,경찰법학과,,,0240,"<인문사회과학대학>
경찰법학과
033-730-0240",https://www.sangji.ac.kr/law/index.do,
11,과사무실,인문사회과학대학,교직과,,,교직과,"<인문사회과학대학>
교직과
033-730-0295",https://www.sangji.ac.kr/education/index.do,
12,과사무실,인문사회과학대학,교직과,,,0295,"<인문사회과학대학>
교직과
033-730-0295",https://www.sangji.ac.kr/education/index.do,
13,과사무실,인문사회과학대학,교직과,,,033-730-0295,"<인문사회과학대학>
교직과
033-730-0295",https://www.sangji.ac.kr/education/index.do,
14,과사무실,인문사회과학대학,교직과,,,730-0295,"<인문사회과학대학>
교직과
033-730-0295",https://www.sangji.ac.kr/education/index.do,
15,과사무실,인문사회과학대학,군사학과,,,033-738-8220,"<인문사회과학대학>
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,
16,과사무실,인문사회과학대학,군사학과,,,738-8220,"<인문사회과학대학>
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,
17,과사무실,인문사회과학대학,군사학과,,,군사학과,"<인문사회과학대학>
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,
18,과사무실,인문사회과학대학,군사학과,,,8220,"<인문사회과학대학>
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,
19,과사무실,인문사회과학대학,군사학과,,,군학,"<인문사회과학대학>
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,
20,과사무실,인문사회과학대학,문화콘텐츠학과,,,문화콘텐츠학과,"<인문사회과학대학>
문화콘텐츠학과
033-738-7601",https://www.sangji.ac.kr/mooncon/index.do,
21,과사무실,인문사회과학대학,문화콘텐츠학과,,,033-738-7601,"<인문사회과학대학>
문화콘텐츠학과
033-738-7601",https://www.sangji.ac.kr/mooncon/index.do,
22,과사무실,인문사회과학대학,문화콘텐츠학과,,,7601,"<인문사회과학대학>
문화콘텐츠학과
033-738-7601",https://www.sangji.ac.kr/mooncon/index.do,
