대학	과	전화번호	홈페이지	키워드		
인문사회과학대학	인문사회과학대학	033-730-0202	https://www.sangji.ac.kr/hss/index.do	인문	인사	
인문사회과학대학	경찰법학과	033-730-0240	https://www.sangji.ac.kr/law/index.do			
인문사회과학대학	교직과	033-730-0295	https://www.sangji.ac.kr/education/index.do			
인문사회과학대학	군사학과	033-738-8220	https://www.sangji.ac.kr/military/index.do	군학		
인문사회과학대학	문화콘텐츠학과	033-738-7601	https://www.sangji.ac.kr/mooncon/index.do	문콘		
인문사회과학대학	미디어영상광고학부	033-730-0284	https://www.sangji.ac.kr/media/index.do	미영		
인문사회과학대학	법률행정학과	033-730-0240	https://www.sangji.ac.kr/pal/index.do	법행		
인문사회과학대학	부동산학과	033-738-7655	https://www.sangji.ac.kr/budongsan/index.do			
인문사회과학대학	사회복지학과(주/야)	033-730-0260	https://www.sangji.ac.kr/walfare/index.do	사복		
인문사회과학대학	아시아국제관계학과	(정보없음)	https://www.sangji.ac.kr/asia/index.do			
인문사회과학대학	영어학과	033-730-0220	https://www.sangji.ac.kr/english/index.do			
인문사회과학대학	유야교육학과	(정보없음)	https://www.sangji.ac.kr/childhood/index.do			
인문사회과학대학	중국학과	033-730-0270	https://www.sangji.ac.kr/chinese/index.do			
인문사회과학대학	한국어문학과	033-730-0210	https://www.sangji.ac.kr/korean/index.do			
인문사회과학대학	행정학과	033-730-0250	https://www.sangji.ac.kr/administration/index.do			
경상대학	경상대학	033-730-0202	https://www.sangji.ac.kr/eba/index.do			
경상대학	FTA국제학부	033-738-8165	https://www.sangji.ac.kr/fta/index.do			
경상대학	경영정보학과	033-738-7630	https://www.sangji.ac.kr/mis/index.do			
경상대학	경영학과	033-730-0310	https://www.sangji.ac.kr/management/index.do			
경상대학	경제학과	033-730-0350	https://www.sangji.ac.kr/economics/index.do			
경상대학	관광경영학과	033-730-0320	https://www.sangji.ac.kr/tourism/index.do			
경상대학	관광여가기획학과	033-738-8230	https://www.sangji.ac.kr/leisureplanning/index.do			
경상대학	글로벌경영학과(야)	033-730-0310	https://www.sangji.ac.kr/globalmanagement/index.do			
경상대학	무역학과	033-730-0330	https://www.sangji.ac.kr/trade/index.do			
경상대학	항공서비스학과	(정보없음)	https://www.sangji.ac.kr/airline/index.do			
경상대학	호텔컨벤션학과	033-738-7535	https://www.sangji.ac.kr/hocon/index.do			
경상대학	회계학과	033-730-0340	https://www.sangji.ac.kr/accounting/index.do			
생명환경과학대학	생명환경과학대학	033-730-0502	https://www.sangji.ac.kr/lsnr/index.do			
생명환경과학대학	동물생명공학과	033-730-0540	https://www.sangji.ac.kr/anibiotech/index.do	동생		
생명환경과학대학	동물자원학과	033-730-0530	https://www.sangji.ac.kr/animalscience/index.do	동자		
생명환경과학대학	산림과학과	033-730-0520	https://www.sangji.ac.kr/forestscience/index.do			
생명환경과학대학	생명과학과	033-730-0430	https://www.sangji.ac.kr/biology/index.do			
생명환경과학대학	식물생명자원학과	033-730-0510	https://www.sangji.ac.kr/plants/index.do	식생		
생명환경과학대학	환경조경학과	033-730-0510	https://www.sangji.ac.kr/horticulture/index.do	환조		
융합기술공과대학	융합기술공과대학	033-730-0402	https://www.sangji.ac.kr/se/index.do			
융합기술공과대학	로봇공학과	(정보없음)				
융합기술공과대학	생명과학산업학과	033-730-0490	https://www.sangji.ac.kr/home/index.do	생과		
융합기술공과대학	소방공학과	(정보없음)	https://www.sangji.ac.kr/fire/index.do			
융합기술공과대학	스마트건설공학과	033-730-0470	https://www.sangji.ac.kr/construction/index.do			
융합기술공과대학	스마트자동차공학과	(정보없음)	https://www.sangji.ac.kr/car/index.do			
융합기술공과대학	신에너지자원공학과	033-730-0450	https://www.sangji.ac.kr/minerals/index.do			
융합기술공과대학	응용물리전자학과	033-730-0410	https://www.sangji.ac.kr/physics/index.do			
융합기술공과대학	전자공학과	(정보없음)	https://www.sangji.ac.kr/ee/index.do	전공		
융합기술공과대학	정밀화학신소재학과	033-730-0420	https://www.sangji.ac.kr/chemistry/index.do			
융합기술공과대학	정보보안학과	(정보없음)	https://www.sangji.ac.kr/security/index.do			
융합기술공과대학	정보통신소프트웨어공학과	033-738-7649	https://www.sangji.ac.kr/ice/index.do	정통		
융합기술공과대학	컴퓨터공학과	033-730-0480	https://www.sangji.ac.kr/cse/index.do	컴공		
융합기술공과대학	컴퓨터데이터정보학과	033-730-0405	https://www.sangji.ac.kr/datainfo/index.do	컴데	컴정	
융합기술공과대학	환경공학과	033-730-0440	https://www.sangji.ac.kr/environment/index.do			
예술체육대학	예술체육대학	033-730-0602	https://www.sangji.ac.kr/artsport/index.do	예대	예체대	
예술체육대학	만화애니메이션학과	(정보없음)	https://www.sangji.ac.kr/cartoon/index.do			
예술체육대학	뷰티디자인학과	(정보없음)	https://www.sangji.ac.kr/beauty/index.do			
예술체육대학	산업디자인학과	033-730-0620	https://www.sangji.ac.kr/design/index.do			
예술체육대학	생활조형디자인학과	033-730-0610	https://www.sangji.ac.kr/craft/index.do			
예술체육대학	시각영상디자인학과	033-738-8170	https://www.sangji.ac.kr/visual/index.do			
예술체육대학	체육학부(생활체육학전공(야))	033-730-0630	https://www.sangji.ac.kr/leisure/index.do			
예술체육대학	체육학부(체육학전공)	033-730-0630	https://www.sangji.ac.kr/athletics/index.do			
예술체육대학	체육학부(태권도학전공)	033-738-7949	https://www.sangji.ac.kr/taekwondo/index.do			
예술체육대학	체육학부(합기도학전공)	033-738-7949	https://www.sangji.ac.kr/hapkido/index.do			
예술체육대학	패션디자인학과	(정보없음)	https://www.sangji.ac.kr/fashion/index.do			
보건의료과학대학	보건의료과학대학	033-738-7651	https://www.sangji.ac.kr/health/index.do			
보건의료과학대학	간호학과	033-738-7620	https://www.sangji.ac.kr/nursing/index.do			
보건의료과학대학	물리치료학과	033-738-7671	https://www.sangji.ac.kr/pt/index.do			
보건의료과학대학	식품영양학과	033-730-0495	https://www.sangji.ac.kr/food/index.do			
보건의료과학대학	언어치료학과	(정보없음)	https://www.sangji.ac.kr/speech/index.do			
보건의료과학대학	의료경영학과	033-738-7910	https://www.sangji.ac.kr/healthcare/index.do			
보건의료과학대학	임상병리학과	033-738-7681	https://www.sangji.ac.kr/bmls/index.do			
보건의료과학대학	작업치료학과	(정보없음)	https://www.sangji.ac.kr/ot/index.do			
보건의료과학대학	재활상담학과	(정보없음)	https://www.sangji.ac.kr/rehab/index.do			
보건의료과학대학	제약공학과	033-738-7920	https://www.sangji.ac.kr/pharmeng/index.do			
보건의료과학대학	한방의료공학과	033-738-7610	https://www.sangji.ac.kr/biomedical/index.do			
