분류	설명	추가사항	전화번호	전화번호2	전화번호3	전화번호4	전화번호5	홈페이지	키워드		
비서실	비서실		033-730-0643	033-730-0648							
교육연구처	교무연구팀		033-730-0114								
교육연구처	학사기획팀		033-730-0382								
교육연구처	학사운영팀		033-730-0121								
교육연구처	미래교육혁신원 교육혁신팀		033-730-0119								
교육연구처	미래교육혁신원 교수학습개발센터	"동악관 2층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00
ctl@sangji.ac.kr"	033-738-7855					https://www.sangji.ac.kr/ctl/index.do			
기획평가처	기획예산팀		033-730-0184								
기획평가처	평가성과관리팀		033-738-7880								
학생행복처	학생행복팀		033-730-0136								
학생행복처	사회봉사단	"대학원관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-738-7558					https://www.sangji.ac.kr/ssvc/index.do			
학생행복처	장애학생지원센터	"대학원관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-738-7558					https://www.sangji.ac.kr/together/index.do			
학생행복처	학생심리상담센터	"대학원관 2층
평일 : 09:00 ~ 18:00
counsel@sangji.ac.kr"	033-738-7939	033-738-7940	033-738-7941	033-738-7942		https://caam.sangji.ac.kr/main/brd/user_psychology_notice.do			
학생행복처	체육부		033-738-7555								
학생행복처	인재개발원 취업진로지원팀		033-730-0131								
학생행복처	인재개발원 현장실습지원센터	"인재관 1층 인재개발원
평일 : 09:00 ~ 18:00
점심시간 : 12:00 ~ 13:00
job@sangji.ac.kr"	033-738-7830	033-738-7883				https://www.sangji.ac.kr/intern/index.do			
학생행복처	인재개발원 여대생커리어개발센터	"인재관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00
mjlee@sangji.ac.kr"	033-730-0588					https://caam.sangji.ac.kr/main/mainPage.do			
입학홍보처	입학팀		033-730-0125	033-730-0126							
입학홍보처	홍보팀		033-730-0183								
행정지원처	총무팀		033-730-0597								
행정지원처	회계팀		033-730-0163								
행정지원처	시설팀		033-738-8881								
대회협력처	대외협력팀		033-738-8702								
대회협력처	발전기금팀		033-738-8702					https://www.sangji.ac.kr/fund/index.do			
대회협력처	국제어학원	"인재관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-738-7608					https://www.sangji.ac.kr/lang/index.do			
대회협력처	국제어학원 국제교류팀	"인재관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-738-8102					https://www.sangji.ac.kr/global/index.do			
대학원지원팀	대학원지원팀		033-730-0196								
부속기관	학술정보원 학술지원팀		033-730-0364					http://library.sangji.ac.kr/main_main.mir			
부속기관	학술정보원 전산정보팀		033-730-0391					http://library.sangji.ac.kr/main_main.mir			
부속기관	생활관 (사무)		033-730-0572					https://www.sangji.ac.kr/dorm/index.do			
부속기관	한방병원	"후문 상지대 부속 한방병원
평일/토요일 : 오전 08:30~12:30 (접수 12시까지)
평일 오후 13:30~17:30 (접수 17시까지)"	033-732-2111					https://www.sangji.ac.kr/medi/index.do			
부속기관	중앙기기센터		033-730-0386								
부속기관	인권센터		033-738-8180								
부속기관	창업지원단										
부속기관	실습목장	강원 평창군 대관령면 삼현동1길 194-14​	033-336-9735								
부속기관	실습농장	강원 평창군 대관령면 삼현동1길 194-14​	033-336-9735								
부속기관	보건소	"위치상지대학교 부속한방병원 1층
상지푸른의원

평일 : 오전 8:30 ~ 오후 5:30
점심시간 : 오후 12:30 ~ 1:30"	033-741-9123								
부속기관	고시원	학술정보원 5층									
부속기관	신문사	민주관 1층	033-730-0398	010-5324-5568				https://www.sangji.ac.kr/press/index.do			
부속기관	영자신문사		010-9729-4495					https://www.sangji.ac.kr/herald/index.do			
부속기관	방송국		033–730-0396					https://www.sangji.ac.kr/sbs/index.do			
부설기관	평생교육원		033-730-0933					https://www.sangji.ac.kr/edulife/index.do			
부설기관	공학교육센터		033-738-7776 								
부설기관	교육연수원  										
부설기관	HRD 직업능률혁신원  										
부설기관	사회협력단 운영지원팀		033-730-0814								
부설기관	사회협력단 원주시어린이급식관리지원센터		033-738-8037								
부설기관	사회협력단 상지대 발달장애인 방과후 돌봄센터		033-730-0149								
부설기관	사회협력단 청년지원센터		033-738-8063								
부설기관	사회협력단 사회적기업성장지원센터		033-748-8661								
부설기관	사회협력단 원주시 도시재생협력지원센터		033-743-0476								
부설기관	산학협력단 산학협렵지원부(산학협력팀, 연구지원팀)		033-738-7789					https://www.sangji.ac.kr/sanhak/index.do			
부설기관	산학협력단 자연과학연구지원센터		033-730-0386								
부설기관	산학협력단 창업보육센터		033-738-7863								
부설기관	산학협력단 한방의료기기산업진흥센터		033-738-7960								
부설기관	산학협력단 기술사업화센터		033-730-0547								
부설기관	산학협력단 중소기업산학협력센터		033-738-7863								
부설기관	산학협력단 평창군 어린이급식관리지원센터										
부설기관	산학협력단 전통산업진흥센터										
지원기관	예비군연대	"학군단 건물 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-730-0168					https://www.sangji.ac.kr/yebigun/index.do			
지원기관	학생군사교육단	"학군단 건물 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00"	033-730-0685	033-730-0686	033-730-0687	033-730-0688	033-730-0689	https://www.sangji.ac.kr/rotc/index.do	학군	ROTC	알오티씨
학생회	총학생회		033-730-0690	033-730-0691							
학생회	중앙선거관리위원회		033-730-0690	033-730-0691							
학생회	졸업준비위원회		010-5525-8031								
학생회	교지편집위원회		010-6228-2426								
식당	식당	창조관 / 동악관	033-738-7808								
카페	동악마루 카페	"동악관 외부
평일 : 09:00~19:00(금 17:00)
주말 : 휴무"	033-738-7901								
카페	카페딕셔너리	"학술정보원 1층
평일 : 09:00~17:00
주말 : 휴무"									
카페	민주관 카페	"창조관 1층
평일 : 09:00~17:00
주말 : 휴무"									
매점	동악관 매점	"동악관 앞
평일 : 09:00~19:00
주말 : 휴무"	033-738-7950								
매점	승강장 매점	"승강장 1층
평일 : 10:00~21:00
주말 : 휴무"	033-738-7733								
매점	학술정보원 매점	"학술정보원 1층
평일 : 09:00~19:00
주말 : 휴무"	033-738-7950								
편의점	민주관 이마트24	"민주관 1층
평일 : 09:00~19:00
평일 19시 이후 무인시스템으로 운영"									
편의점	창조관 이마트24	"창조관 1층
평일 : 09:00~19:00
평일 19시 이후 무인시스템으로 운영"									
패스트푸드	맘스터치	"상지카페
평일 : 10:00~17:00
주말 : 휴무"	033-744-7382								
자판기	음료자판기		033-738-7901								
자판기	커피자판기		033-738-7713								
자판기	라면자판기		033-738-7713								
자판기	멀티자판기		033-738-7713								
서점	구내서점	"민주관 3층
평일 : 09:00~19:00
주말 : 휴무"	033-738-7715								
안경원	민주관 안경원	"민주관 3층
평일 : 09:00~19:00
주말 : 휴무"	033-744-6157								
복사기	학술정보원 복사기	학술정보원 3층									
복사기	동악관 복사기	동악관 1층									
복사점	동악관 복사점	"동악관 3층
평일 : 09:00~19:00
주말 : 휴무"	033-746-4594								
복사점	창조관 복사점	"창조관 1층
평일 : 09:00~19:00
주말 : 휴무"	033-733-9781								
증명서	증명서 발급기	인재관 1층 학사관리부									
은행	신한은행	창조관 2층									
은행	신한은행 ATM	대학원관 앞, 동악관 앞, 창조관 1층									
은행	농협	창조관 1층									
생활관	믿음관	남자 기숙사	033-730-0571					https://www.sangji.ac.kr/dorm/index.do	남자 기숙사	남자 생활관	남긱
생활관	맑음관	여자 기숙사	033-738-7570					https://www.sangji.ac.kr/dorm/index.do	여자 기숙사	여자 생활관	여긱
취창업진로지원팀	취창업진로지원팀	"인재관 1층
평일 : 09:00 ~ 18:00
점심시간 : 12:00~13:00
job@sangji.ac.kr"	033-730-0131					https://caam.sangji.ac.kr/			
학사안내	수강신청		033-730-0383								
학사안내	졸업, 성적, 교직이수		033-730-0122								
학사안내	복수전공, 복수부전공, 전과, 재입학		033-730-0123								
학사안내	제증명발급, 휴/복학		033-730-0121								
학사안내	계절학기		033-730-0120								
학사안내	사이버캠퍼스		033-738-7582								
취업/상담	진로/취업		033-738-8837								
취업/상담	심리검사/상담		033-738-7940								
장학	교내장학		033-738-7527								
장학	상지대 국가장학, 학자금대출		033-730-0137								
장학	상지영서대 국가장학, 대출		033-738-8059								
장학	국가근로		033-730-0138								
학생지원	통학버스		033-738-7590								
학생지원	학생증, 학생자치기구		033-738-7529								
