FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)

0,대학,과,,,,"['과', ['키워드']]","대학
과
전화번호",홈페이지,

0,인문사회과학대학,인문사회과학대학,,,,"['인문사회과학대학', ['033-730-0202', '730-0202', '0202'], ['인문대', '인사대', '인사과대', '인문사회과학대', '인문사화대']]","인문사회과학대학
인문사회과학대학
033-730-0202",https://www.sangji.ac.kr/hss/index.do,

0,인문사회과학대학,경찰법학과,,,,"['경찰법학과', ['033-730-0240', '730-0240', '0240'], ['경찰대', '경찰법학', '경찰', '경법과', '경법']]","인문사회과학대학
경찰법학과
033-730-0240",https://www.sangji.ac.kr/law/index.do,

0,인문사회과학대학,교직과,,,,"['교직과', ['033-730-0295', '730-0295', '0295'], ['교과', '교직과', '교직']]","인문사회과학대학
교직과
033-730-0295",https://www.sangji.ac.kr/education/index.do,

0,인문사회과학대학,군사학과,,,,"['군사학과', ['033-738-8220', '738-8220', '8220'], ['군사학', '군사', '군과']]","인문사회과학대학
군사학과
033-738-8220",https://www.sangji.ac.kr/military/index.do,

0,인문사회과학대학,문화콘텐츠학과,,,,"['문화콘텐츠학과', ['033-738-7601', '738-7601', '7601'], ['문화학과', '문화']]","인문사회과학대학
문화콘텐츠학과
033-738-7601",https://www.sangji.ac.kr/mooncon/index.do,

0,인문사회과학대학,미디어영상광고학부,,,,"['미디어영상광고학부', ['033-730-0284', '730-0284', '0284'], ['미디어과', '영상', '광고']]","인문사회과학대학
미디어영상광고학부
033-730-0284",https://www.sangji.ac.kr/media/index.do,

0,인문사회과학대학,법률행정학과,,,,"['법률행정학과', ['033-730-0240', '730-0240', '0240'], ['법률행정과', '법률', '법행']]","인문사회과학대학
법률행정학과
033-730-0240",https://www.sangji.ac.kr/pal/index.do,

0,인문사회과학대학,부동산학과,,,,"['부동산학과', ['033-738-7655', '738-7655', '7655'], ['부동산']]","인문사회과학대학
부동산학과
033-738-7655",https://www.sangji.ac.kr/budongsan/index.do,

0,인문사회과학대학,사회복지학과(주/야),,,,"['사회복지학과(주/야)', ['033-730-0260', '730-0260', '0260'], ['사회복지', '사복과', '사회']]","인문사회과학대학
사회복지학과(주/야)
033-730-0260",https://www.sangji.ac.kr/walfare/index.do,

0,인문사회과학대학,아시아국제관계학과,,,,"['아시아국제관계학과', ['아시아']]","인문사회과학대학
아시아국제관계학과
(정보없음)",https://www.sangji.ac.kr/asia/index.do,

0,인문사회과학대학,영어학과,,,,"['영어학과', ['033-730-0220', '730-0220', '0220'], ['영어']]","인문사회과학대학
영어학과
033-730-0220",https://www.sangji.ac.kr/english/index.do,

0,인문사회과학대학,유야교육학과,,,,"['유야교육학과', ['유아']]","인문사회과학대학
유야교육학과
(정보없음)",https://www.sangji.ac.kr/childhood/index.do,

0,인문사회과학대학,중국학과,,,,"['중국학과', ['033-730-0270', '730-0270', '0270'], ['중국']]","인문사회과학대학
중국학과
033-730-0270",https://www.sangji.ac.kr/chinese/index.do,

0,인문사회과학대학,한국어문학과,,,,"['한국어문학과', ['033-730-0210', '730-0210', '0210'], ['한국어']]","인문사회과학대학
한국어문학과
033-730-0210",https://www.sangji.ac.kr/korean/index.do,

